resource_id,name_en,中文译名,state,buildingLevelsNeededPerUnitPerHour,modeledProductionCostPerUnit,modeledStoreWages,modeledUnitsSoldAnHour
1,Power,电力,0,0.00035971238877671166,0.14892092895355866,,0
1,Power,电力,1,0.0003895681864071938,0.1612812291725782,,0
1,Power,电力,2,0.00041981056397398167,0.1738015734852284,,0
2,Water,水,0,0.0006472608791607003,0.22826903427556022,,0
2,Water,水,1,0.0006927577303864013,0.24437745795572777,,0
2,Water,水,2,0.0007383318975993639,0.2605178904546215,,0
3,Apples,苹果,0,0.007956656285975621,1.3234742787740026,151.8,110
3,Apples,苹果,1,0.008217493995122272,1.3858094303634345,151.8,110
3,Apples,苹果,2,0.008473295191580672,1.44769772339317,151.8,110
4,Oranges,橙子,0,0.008378244840992382,1.3671086942182373,151.8,90
4,Oranges,橙子,1,0.008647570615670862,1.4303223605902136,151.8,90
4,Oranges,橙子,2,0.00891148604117326,1.4930504763260029,151.8,90
5,Grapes,葡萄,0,0.009815984260809504,1.6771922574517373,151.8,80
5,Grapes,葡萄,1,0.010146722009585872,1.7581615627211524,151.8,80
5,Grapes,葡萄,2,0.010471425781758723,1.8386047785296857,151.8,80
6,Grain,谷物,0,0.0027023028010543172,0.37645485987857846,,0
6,Grain,谷物,1,0.002776188816924674,0.3909417622681449,,0
6,Grain,谷物,2,0.0028480693698462022,0.4052355032109343,,0
7,Steak,牛排,0,0.093871423707193,24.42435003892025,151.8,35
7,Steak,牛排,1,0.09873545210512771,26.107063782608222,151.8,35
7,Steak,牛排,2,0.10360149011498175,27.80284566441405,151.8,35
8,Sausages,香肠,0,0.021782310884529647,6.560739232246618,151.8,110
8,Sausages,香肠,1,0.02309206140870684,7.046581956294532,151.8,110
8,Sausages,香肠,2,0.024408383699800515,7.537239875561723,151.8,110
9,Eggs,鸡蛋,0,0.004686999747628333,0.7041533150198044,151.8,340
9,Eggs,鸡蛋,1,0.004825017092868805,0.7292769680471267,151.8,340
9,Eggs,鸡蛋,2,0.004958924107641794,0.7538837273750104,151.8,340
10,Crude Oil,原油,0,0.031939943947957385,15.598165187108206,,0
10,Crude Oil,原油,1,0.035091282876724146,17.151731206376134,,0
10,Crude Oil,原油,2,0.038330885132251816,18.74997322165764,,0
11,Petrol,汽油,0,0.05480224882248012,22.019145846634075,379.5,103
11,Petrol,汽油,1,0.05923092127223874,24.00011652274248,379.5,103
11,Petrol,汽油,2,0.06374553595360781,26.026618391472763,379.5,103
12,Diesel,柴油,0,0.05453842856592886,21.891720662719823,379.5,105
12,Diesel,柴油,1,0.05894138193606232,23.86026902336927,379.5,105
12,Diesel,柴油,2,0.06342960723923502,25.874024822430698,379.5,105
13,Transport,—,0,0.0005730652373388453,0.20309675148108994,,0
13,Transport,—,1,0.0006136673297947944,0.21874175863532477,,0
13,Transport,—,2,0.0006545823695340638,0.23457798854728104,,0
14,Minerals,矿物,0,0.016392875165325393,5.56686477028074,,0
14,Minerals,矿物,1,0.01750234326356938,5.959031259598084,,0
14,Minerals,矿物,2,0.018613651775828247,6.352783333413982,,0
15,Bauxite,铝土矿,0,0.015923056630880176,5.1145404810531385,,0
15,Bauxite,铝土矿,1,0.01694048982229516,5.4548090892767025,,0
15,Bauxite,铝土矿,2,0.017956000937008033,5.795299411570548,,0
16,Silicon,硅,0,0.00994982277483476,3.920971747599134,,0
16,Silicon,硅,1,0.01073484167488349,4.235145999073738,,0
16,Silicon,硅,2,0.011528006925307442,4.552831213323878,,0
17,Chemicals,化学品,0,0.020781366308401276,7.383700103514156,,0
17,Chemicals,化学品,1,0.02225507513773714,7.926662255503538,,0
17,Chemicals,化学品,2,0.02373534065631082,8.47316252993377,,0
18,Aluminium,铝,0,0.029026865079174673,10.53951717864706,,0
18,Aluminium,铝,1,0.031131902327128647,11.330053866277764,,0
18,Aluminium,铝,2,0.03324910005320308,12.126642445675298,,0
19,Plastic,塑料,0,0.012647511435159827,6.018881701103188,,0
19,Plastic,塑料,1,0.013861944464545807,6.601446467448817,,0
19,Plastic,塑料,2,0.015107297198442237,7.199221042832577,,0
20,Processors,处理器,0,0.16179322207042274,61.47775538339865,,0
20,Processors,处理器,1,0.17408164523862016,66.18993994261048,,0
20,Processors,处理器,2,0.1864587389271114,70.9385025143814,,0
21,Electronic Components,电子元件,0,0.07312251566905718,27.68220829953111,,0
21,Electronic Components,电子元件,1,0.07865675647379852,29.814921072905186,,0
21,Electronic Components,电子元件,2,0.08423299933658221,31.96588175460587,,0
22,Batteries,电池,0,0.11993003420185322,43.502134337506796,,0
22,Batteries,电池,1,0.12861564724234822,46.73308309140033,,0
22,Batteries,电池,2,0.13734549737781446,49.985019258335846,,0
23,Displays,显示屏,0,0.16179245472568812,60.11399294904886,,0
23,Displays,显示屏,1,0.1738051384686086,64.6888629290434,,0
23,Displays,显示屏,2,0.1858989317002293,69.30081050954078,,0
24,Smart Phones,智能手机,0,0.8174552306259395,306.0610153417686,189.75,2
24,Smart Phones,智能手机,1,0.8786144000373325,329.33500966377494,189.75,2
24,Smart Phones,智能手机,2,0.9401822028309115,352.7852135475178,189.75,2
25,Tablets,平板电脑,0,1.0082745504308024,376.7145254694643,189.75,0.8
25,Tablets,平板电脑,1,1.0835514408330698,405.3539264590962,189.75,0.8
25,Tablets,平板电脑,2,1.159330234584344,434.2126665027337,189.75,0.8
26,Laptops,笔记本电脑,0,1.5691405121121074,592.6567143980969,189.75,1.2
26,Laptops,笔记本电脑,1,1.6876114585927768,638.1754481232036,189.75,1.2
26,Laptops,笔记本电脑,2,1.806956074039177,684.0749931167466,189.75,1.2
27,Monitors,显示器,0,0.7201712121519996,272.96812469426237,189.75,2
27,Monitors,显示器,1,0.774758363447735,294.1621171806931,189.75,2
27,Monitors,显示器,2,0.8297903706539643,315.558865731908,189.75,2
28,Televisions,电视机,0,1.2225264120610222,464.7056364772277,189.75,1.8
28,Televisions,电视机,1,1.3154602064174634,500.8252761109699,189.75,1.8
28,Televisions,电视机,2,1.4091580179634662,537.2893854315035,189.75,1.8
29,Plant Research,植物研究,0,0.19176423856665117,86.00626099714304,,0
29,Plant Research,植物研究,1,0.20906502387778717,93.76566320918754,,0
29,Plant Research,植物研究,2,0.22670290482394245,101.67625281353818,,0
30,Energy Research,能源研究,0,0.2703491840801648,158.55979646301665,,0
30,Energy Research,能源研究,1,0.30267846389621533,177.52091907513025,,0
30,Energy Research,能源研究,2,0.33649647329352683,197.3551815866535,,0
31,Mining Research,采矿研究,0,0.2973841024881812,174.4157761093183,,0
31,Mining Research,采矿研究,1,0.33294631028583677,195.27301098264326,,0
31,Mining Research,采矿研究,2,0.37014612062287944,217.0906997453188,,0
32,Electronics Research,电子研究,0,0.3717301281102266,218.0197201366479,,0
32,Electronics Research,电子研究,1,0.416182887857296,244.0912637283041,,0
32,Electronics Research,电子研究,2,0.4626826507785994,271.3633746816485,,0
33,Breeding Research,育种研究,0,0.23980825918447443,99.28061930237241,,0
33,Breeding Research,育种研究,1,0.2597121242714625,107.52081944838548,,0
33,Breeding Research,育种研究,2,0.27987370931598776,115.86771565681893,,0
34,Chemistry Research,化学研究,0,0.19620675751457,81.22959761103198,,0
34,Chemistry Research,化学研究,1,0.21249173804028748,87.97157954867903,,0
34,Chemistry Research,化学研究,2,0.22898758034944452,94.80085826467004,,0
35,Software,软件研究,0,0.15651794867799013,91.7977768996412,,0
35,Software,软件研究,1,0.17523490015044044,102.77526893823331,,0
